Daily rainfall(in mm) trends for Darjiling from 18-Mar-2014 to 18-Mar-2024

Dates,NORMAL (mm) ,ACTUAL (mm) 
"01-Feb-2022",0.1,0
"02-Feb-2022",0.5,3.74
"03-Feb-2022",0.2,0
"04-Feb-2022",0.5,0.96
"05-Feb-2022",0.6,23.18
"06-Feb-2022",1.4,5.77
"07-Feb-2022",0.4,0.34
"08-Feb-2022",0.7,0.29
"09-Feb-2022",0.7,0.11
"10-Feb-2022",0.4,0.01
"11-Feb-2022",0.1,1.65
"12-Feb-2022",0.1,0.11
"13-Feb-2022",0.1,0
"14-Feb-2022",1,0
"16-Feb-2022",0.2,0
"17-Feb-2022",0.6,0.42
"18-Feb-2022",0.2,0.02
"19-Feb-2022",0.5,0
"20-Feb-2022",1.4,0.02
"21-Feb-2022",0.4,0.27
"22-Feb-2022",0.2,0.13
"23-Feb-2022",0.7,0
"24-Feb-2022",0.5,0
"25-Feb-2022",0.5,0
"26-Feb-2022",0.4,2.09
"27-Feb-2022",0.2,0.1
"28-Feb-2022",0.8,0
"01-Mar-2022",0.2,0
"02-Mar-2022",0.3,0.05
"03-Mar-2022",0.8,0.16
"04-Mar-2022",0.6,0.14
"05-Mar-2022",0.2,0
"06-Mar-2022",0.8,0
"07-Mar-2022",2.2,0
"08-Mar-2022",1.2,0
"09-Mar-2022",0.8,0
"10-Mar-2022",0.6,0
"11-Mar-2022",0.6,0
"12-Mar-2022",1.4,0
"13-Mar-2022",0.8,0
"14-Mar-2022",0.7,0
"15-Mar-2022",0.6,0
"16-Mar-2022",0.8,0
"17-Mar-2022",2.8,0
"18-Mar-2022",0.9,0
"19-Mar-2022",1.3,0
"20-Mar-2022",1.4,0.03
"22-Mar-2022",1,5.1
"23-Mar-2022",2,0.3
"24-Mar-2022",1.9,5.33
"25-Mar-2022",2.5,1.75
"26-Mar-2022",1.6,0.02
"27-Mar-2022",1.9,0
"28-Mar-2022",2.3,5.09
"29-Mar-2022",0.7,2.64
"30-Mar-2022",1.5,3.54
"31-Mar-2022",3.3,5.43
"01-Apr-2022",1,28.56
"02-Apr-2022",1.5,1.88
"04-Apr-2022",1.1,6.99
"05-Apr-2022",0.7,9.32
"06-Apr-2022",1.2,1.72
"08-Apr-2022",2.3,4.3
"09-Apr-2022",1.3,11.29
"10-Apr-2022",2.4,20.96
"11-Apr-2022",2,12.73
"12-Apr-2022",1.3,0.14
"13-Apr-2022",4,0.76
"14-Apr-2022",2.2,0.69
"15-Apr-2022",2.3,11.1
"16-Apr-2022",2.4,0
"17-Apr-2022",2.3,0.87
"18-Apr-2022",4.1,7.45
"19-Apr-2022",3.9,0.1
"20-Apr-2022",2.9,8.7
"21-Apr-2022",3.5,1.99
"22-Apr-2022",3.4,0.88
"23-Apr-2022",3.4,1.83
"24-Apr-2022",2.5,0.4
"25-Apr-2022",3.1,0
"26-Apr-2022",3.5,0.01
"27-Apr-2022",4.7,6.54
"28-Apr-2022",4.4,0.03
"29-Apr-2022",5.2,0.12
"30-Apr-2022",6.8,14.45
"01-May-2022",5.7,2.84
"02-May-2022",6.8,3.12
"03-May-2022",5.8,8.8
"04-May-2022",7.1,17.54
"05-May-2022",5.9,6.02
"06-May-2022",2.7,0.02
"07-May-2022",4.1,1.25
"08-May-2022",6,0.06
"09-May-2022",6,0.12
"10-May-2022",4.2,14.29
"11-May-2022",5.7,39.72
"12-May-2022",7.5,4.46
"13-May-2022",6.9,17.97
"14-May-2022",7.2,6.35
"15-May-2022",6.5,9.18
"16-May-2022",5.3,39.96
"17-May-2022",5.6,10.39
"18-May-2022",4.2,1.67
"19-May-2022",4.6,18.48
"20-May-2022",7.1,13.73
"21-May-2022",4.9,18.76
"22-May-2022",7,5.03
"23-May-2022",4.7,14.31
"24-May-2022",5.9,1.03
"25-May-2022",6.5,0.05
"26-May-2022",6.8,30.38
"27-May-2022",8.6,8.22
"28-May-2022",10.4,38.35
"29-May-2022",7.1,0.48
"30-May-2022",4.3,25.1
"31-May-2022",7.1,3.21
"01-Jun-2022",11,8.91
"02-Jun-2022",7.8,13.01
"03-Jun-2022",10.1,19.15
"04-Jun-2022",8,47.39
"05-Jun-2022",12.8,17.6
"06-Jun-2022",9.3,10.41
"07-Jun-2022",12.9,4.95
"08-Jun-2022",10.5,38.81
"09-Jun-2022",15.2,30.61
"10-Jun-2022",14.1,29.22
"11-Jun-2022",14.3,23.94
"12-Jun-2022",21.8,26.07
"13-Jun-2022",21.9,8.98
"14-Jun-2022",13.5,55.17
"15-Jun-2022",16.3,53.49
"16-Jun-2022",16.4,52.81
"17-Jun-2022",19.5,33.47
"18-Jun-2022",20.2,53.17
"19-Jun-2022",19,29.66
"20-Jun-2022",16.6,63.21
"21-Jun-2022",17.9,95.32
"22-Jun-2022",18.5,4.07
"23-Jun-2022",19.4,10.54
"24-Jun-2022",24.7,48.56
"25-Jun-2022",19.1,13.05
"26-Jun-2022",24.2,33.22
"27-Jun-2022",22.6,40.71
"28-Jun-2022",18.6,58.98
"29-Jun-2022",22.3,74.14
"30-Jun-2022",29,30.29
"01-Jul-2022",31,46.79
"02-Jul-2022",28.5,23.23
"03-Jul-2022",21.1,2.46
"04-Jul-2022",19.8,15.85
"05-Jul-2022",21.7,2.55
"06-Jul-2022",27.2,17.99
"07-Jul-2022",21.1,10.3
"08-Jul-2022",25.8,19.05
"09-Jul-2022",24.7,55.84
"10-Jul-2022",23.8,0.34
"11-Jul-2022",22.1,0.83
"12-Jul-2022",23.5,12.69
"13-Jul-2022",24.1,1.26
"14-Jul-2022",26,5.18
"15-Jul-2022",25.3,0.46
"18-Jul-2022",27.7,61.99
"19-Jul-2022",24.1,11.78
"20-Jul-2022",22.4,13.54
"21-Jul-2022",26.8,81.42
"22-Jul-2022",28.7,27.4
"23-Jul-2022",20.8,15.31
"24-Jul-2022",25.7,14.29
"25-Jul-2022",28.9,40.72
"26-Jul-2022",26.4,33.39
"27-Jul-2022",22.2,61.68
"28-Jul-2022",32.7,17.83
"29-Jul-2022",20.7,83.85
"30-Jul-2022",24.3,22.16
"31-Jul-2022",25.2,42.15
"01-Aug-2022",21.1,88.27
"02-Aug-2022",14.6,38.76
"03-Aug-2022",18.6,4.88
"04-Aug-2022",15,10.1
"05-Aug-2022",16,1.03
"06-Aug-2022",11.9,56.29
"07-Aug-2022",20,1.18
"08-Aug-2022",19.8,2.67
"09-Aug-2022",19.5,5.37
"10-Aug-2022",18.4,2.53
"11-Aug-2022",22.7,0.1
"12-Aug-2022",22.6,0.7
"13-Aug-2022",15.2,0.03
"14-Aug-2022",20.5,16.38
"15-Aug-2022",17.1,17.03
"16-Aug-2022",16.6,8.83
"17-Aug-2022",22,4.08
"18-Aug-2022",17.6,1.16
"19-Aug-2022",17.8,14.07
"20-Aug-2022",20.3,32.18
"21-Aug-2022",19.8,9.86
"22-Aug-2022",14.7,3.4
"23-Aug-2022",18.2,1.04
"24-Aug-2022",21,27.05
"25-Aug-2022",23.3,11.23
"26-Aug-2022",20.5,0.67
"27-Aug-2022",18.2,10.94
"28-Aug-2022",14.6,51.17
"29-Aug-2022",11.6,64.61
"30-Aug-2022",14.2,15.98
"31-Aug-2022",12.1,52.74
"01-Sep-2022",14.4,127.67
"02-Sep-2022",16.3,22.11
"03-Sep-2022",16.6,27.37
"04-Sep-2022",17.1,2.31
"05-Sep-2022",19.2,28.09
"06-Sep-2022",24,36.06
"07-Sep-2022",17.1,7.5
"08-Sep-2022",14.7,0.84
"09-Sep-2022",10.7,12.4
"10-Sep-2022",14.4,0.29
"11-Sep-2022",19.5,0.35
"12-Sep-2022",14.9,14.96
"13-Sep-2022",14.1,17.08
"14-Sep-2022",15.5,27.22
"15-Sep-2022",17.3,4.25
"16-Sep-2022",16.8,14.58
"17-Sep-2022",12.8,35.33
"18-Sep-2022",12.7,2.19
"19-Sep-2022",16.5,0.23
"20-Sep-2022",11.4,4.83
"21-Sep-2022",8.1,14.21
"22-Sep-2022",8.1,25.55
"23-Sep-2022",15.7,48.91
"24-Sep-2022",8.6,65.8
"25-Sep-2022",8.3,49.28
"26-Sep-2022",10.8,11.21
"27-Sep-2022",12.7,3.76
"28-Sep-2022",13.9,3.77
"29-Sep-2022",12.6,34.65
"30-Sep-2022",9.4,3.9
"01-Oct-2022",12.1,0.22
"02-Oct-2022",9.5,0
"03-Oct-2022",7.9,0
"04-Oct-2022",10.7,14.27
"05-Oct-2022",16.4,25.93
"06-Oct-2022",4.3,25.77
"07-Oct-2022",5.1,1.56
"08-Oct-2022",2.3,14.76
"09-Oct-2022",3.1,33.94
"10-Oct-2022",4.8,30.64
"11-Oct-2022",2.8,24.59
"12-Oct-2022",3.8,56.04
"13-Oct-2022",5.6,3.52
"14-Oct-2022",3.4,0.02
"15-Oct-2022",4.1,0
"16-Oct-2022",1.3,0
"17-Oct-2022",3.2,0
"18-Oct-2022",6.1,0
"19-Oct-2022",3.4,0
"20-Oct-2022",2,0
"21-Oct-2022",1.5,0
"22-Oct-2022",3,0
"23-Oct-2022",1.8,0
"24-Oct-2022",2.4,0
"25-Oct-2022",0.8,1.32
"26-Oct-2022",1,1.59
"27-Oct-2022",0.8,1.45
"28-Oct-2022",0.2,0
"29-Oct-2022",0,0
"30-Oct-2022",0.8,0
"31-Oct-2022",1.1,0
"01-Nov-2022",0.8,0
"02-Nov-2022",0.5,0
"03-Nov-2022",0.9,0
"04-Nov-2022",0.9,0
"05-Nov-2022",0.7,0
"06-Nov-2022",0.2,0
"07-Nov-2022",0.7,0
"08-Nov-2022",0.2,0
"09-Nov-2022",0.2,0
"10-Nov-2022",0.1,0
"11-Nov-2022",0.2,0
"12-Nov-2022",0.4,0.69
"13-Nov-2022",0.1,1.66
"14-Nov-2022",0.2,0
"15-Nov-2022",0.4,0
"16-Nov-2022",0.1,0
"17-Nov-2022",0,0
"18-Nov-2022",0.2,0
"19-Nov-2022",0.1,0
"20-Nov-2022",0.2,0
"21-Nov-2022",0.4,0
"22-Nov-2022",0.3,0
"23-Nov-2022",0.1,0
"24-Nov-2022",0,0
"25-Nov-2022",0,0
"26-Nov-2022",0.2,0
"27-Nov-2022",0.2,0
"28-Nov-2022",0.3,0
"29-Nov-2022",0.5,0
"30-Nov-2022",0.8,0
"01-Dec-2022",0.6,0
"02-Dec-2022",0.2,0
"03-Dec-2022",0.3,0
"04-Dec-2022",0,0
"05-Dec-2022",0.1,0
"06-Dec-2022",0.2,0
"07-Dec-2022",0,0
"08-Dec-2022",0,0
"09-Dec-2022",0.1,0
"10-Dec-2022",0,0
"11-Dec-2022",0.1,0
"12-Dec-2022",0.2,0
"13-Dec-2022",0,0
"14-Dec-2022",0,0
"15-Dec-2022",0.1,0
"16-Dec-2022",0,0
"17-Dec-2022",0,0
"18-Dec-2022",0.2,0
"19-Dec-2022",0.2,0
"20-Dec-2022",0,0
"21-Dec-2022",0,0.07
"22-Dec-2022",0,0
"23-Dec-2022",0,0
"24-Dec-2022",0,0
"25-Dec-2022",0,0
"26-Dec-2022",0.1,0
"27-Dec-2022",0.5,0.36
"28-Dec-2022",0.4,0
"29-Dec-2022",0.1,1.14
"30-Dec-2022",0,0
"31-Dec-2022",0.2,0
"01-Jan-2023",0,0
"02-Jan-2023",0.2,0
"03-Jan-2023",0.4,0
"04-Jan-2023",0.7,0
"05-Jan-2023",1.2,0
"06-Jan-2023",0.1,0
"07-Jan-2023",0.5,0
"08-Jan-2023",0.3,0
"09-Jan-2023",1.8,0
"10-Jan-2023",1.5,0
"11-Jan-2023",0,0
"12-Jan-2023",0.1,0
"13-Jan-2023",0.2,0
"14-Jan-2023",0,0
"15-Jan-2023",0.5,0.01
"16-Jan-2023",0.5,0
"18-Jan-2023",0.3,0
"19-Jan-2023",0.6,0.01
"20-Jan-2023",0.2,0
"21-Jan-2023",0.4,0
"22-Jan-2023",0.6,0
"23-Jan-2023",0.7,0
"24-Jan-2023",0.4,0
"25-Jan-2023",0.5,0
"26-Jan-2023",0.1,0
"27-Jan-2023",0.8,0
"28-Jan-2023",0.5,0
"29-Jan-2023",1.5,0
"30-Jan-2023",1,0
"31-Jan-2023",0.9,0
"01-Feb-2023",0.1,0
"02-Feb-2023",0.5,0
"03-Feb-2023",0.2,0
"04-Feb-2023",0.5,0
"05-Feb-2023",0.6,0
"06-Feb-2023",1.4,0
"07-Feb-2023",0.4,0.14
"08-Feb-2023",0.7,1.8
"09-Feb-2023",0.7,3.78
"10-Feb-2023",0.4,0.6
"11-Feb-2023",0.1,0.27
"12-Feb-2023",0.1,0
"13-Feb-2023",0.1,0.12
"14-Feb-2023",1,0
"15-Feb-2023",0.6,0
"16-Feb-2023",0.2,0
"17-Feb-2023",0.6,0
"18-Feb-2023",0.2,0
"19-Feb-2023",0.5,0
"20-Feb-2023",1.4,0.42
"21-Feb-2023",0.4,0.29
"22-Feb-2023",0.2,4.04
"23-Feb-2023",0.7,15.84
"24-Feb-2023",0.5,0.25
"25-Feb-2023",0.5,0.26
"26-Feb-2023",0.4,0.24
"27-Feb-2023",0.2,0.15
"28-Feb-2023",0.8,0.13
"01-Mar-2023",0.2,0.14
"02-Mar-2023",0.3,0.13
"03-Mar-2023",0.8,0.87
"04-Mar-2023",0.6,0.02
"05-Mar-2023",0.2,0.3
"06-Mar-2023",0.8,0.79
"07-Mar-2023",2.2,0.05
"08-Mar-2023",1.2,0
"09-Mar-2023",0.8,1.01
"10-Mar-2023",0.6,0
"11-Mar-2023",0.6,0.11
"12-Mar-2023",1.4,0.33
"13-Mar-2023",0.8,0.07
"14-Mar-2023",0.7,1.33
"15-Mar-2023",0.6,0.64
"16-Mar-2023",0.8,14.94
"17-Mar-2023",2.8,0.87
"18-Mar-2023",0.9,18.33
"19-Mar-2023",1.3,24.96
"20-Mar-2023",1.4,13.46
"21-Mar-2023",2,21.15
"22-Mar-2023",1,9.98
"23-Mar-2023",2,13.87
"24-Mar-2023",1.9,1.53
"25-Mar-2023",2.5,5.14
"26-Mar-2023",1.6,3.43
"27-Mar-2023",1.9,0.33
"28-Mar-2023",2.3,0.12
"29-Mar-2023",0.7,0.31
"30-Mar-2023",1.5,0.05
"31-Mar-2023",3.3,0.5
"01-Apr-2023",1,7.71
"02-Apr-2023",1.5,9.84
"03-Apr-2023",2,1.57
"04-Apr-2023",1.1,1.48
"05-Apr-2023",0.7,0.77
"06-Apr-2023",1.2,0.29
"07-Apr-2023",1,4.3
"08-Apr-2023",2.3,0.27
"09-Apr-2023",1.3,0
"10-Apr-2023",2.4,0.45
"11-Apr-2023",2,0.47
"12-Apr-2023",1.3,0
"13-Apr-2023",4,0
"14-Apr-2023",2.2,0
"15-Apr-2023",2.3,0
"16-Apr-2023",2.4,0
"17-Apr-2023",2.3,0.8
"18-Apr-2023",4.1,0.03
"19-Apr-2023",3.9,0.09
"20-Apr-2023",2.9,4.84
"21-Apr-2023",3.5,3.84
"22-Apr-2023",3.4,11.98
"23-Apr-2023",3.4,16.91
"24-Apr-2023",2.5,0.11
"25-Apr-2023",3.1,0
"26-Apr-2023",3.5,0.09
"27-Apr-2023",4.7,7.7
"28-Apr-2023",4.4,4.92
"29-Apr-2023",5.2,20
"30-Apr-2023",6.8,5.99
"01-May-2023",5.7,30.61
"02-May-2023",6.8,11.45
"03-May-2023",5.8,0.15
"04-May-2023",7.1,2.41
"05-May-2023",5.9,1.45
"06-May-2023",2.7,1.19
"07-May-2023",4.1,1.69
"08-May-2023",6,5.73
"09-May-2023",6,2.83
"10-May-2023",4.2,0.12
"11-May-2023",5.7,0.07
"12-May-2023",7.5,0
"13-May-2023",6.9,0.01
"14-May-2023",7.2,0
"15-May-2023",6.5,0.32
"16-May-2023",5.3,3.23
"17-May-2023",5.6,18.91
"18-May-2023",4.2,11.14
"19-May-2023",4.6,18.55
"20-May-2023",7.1,9.09
"21-May-2023",4.9,6.93
"22-May-2023",7,5.58
"23-May-2023",4.7,0.35
"24-May-2023",5.9,17.79
"25-May-2023",6.5,2.61
"26-May-2023",6.8,45.8
"27-May-2023",8.6,37.09
"28-May-2023",10.4,6.96
"29-May-2023",7.1,1.18
"30-May-2023",4.3,0
"31-May-2023",7.1,0
"01-Jun-2023",11,12.6
"02-Jun-2023",7.8,5.95
"03-Jun-2023",10.1,0.15
"04-Jun-2023",8,3.97
"05-Jun-2023",12.8,3.25
"06-Jun-2023",9.3,7.22
"07-Jun-2023",12.9,0.19
"08-Jun-2023",10.5,2.69
"09-Jun-2023",15.2,4.3
"10-Jun-2023",14.1,0
"11-Jun-2023",14.3,0.98
"12-Jun-2023",21.8,39.47
"14-Jun-2023",13.5,14.71
"15-Jun-2023",16.3,34.58
"16-Jun-2023",16.4,33.7
"17-Jun-2023",19.5,49.29
"18-Jun-2023",20.2,68.41
"19-Jun-2023",19,91.84
"20-Jun-2023",16.6,23.4
"21-Jun-2023",17.9,36.52
"22-Jun-2023",18.5,24.4
"23-Jun-2023",19.4,48.58
"24-Jun-2023",24.7,8.13
"25-Jun-2023",19.1,16.69
"26-Jun-2023",24.2,22.81
"27-Jun-2023",22.6,29.35
"28-Jun-2023",18.6,37.75
"29-Jun-2023",22.3,28.6
"30-Jun-2023",29,34.16
"01-Jul-2023",31,11.61
"02-Jul-2023",28.5,43.78
"03-Jul-2023",21.1,43.21
"04-Jul-2023",19.8,30.18
"05-Jul-2023",21.7,17.89
"06-Jul-2023",27.2,15.4
"07-Jul-2023",21.1,74.37
"08-Jul-2023",25.8,36.63
"09-Jul-2023",24.7,11.46
"10-Jul-2023",23.8,20.39
"11-Jul-2023",22.1,5.44
"12-Jul-2023",23.5,24.45
"13-Jul-2023",24.1,126.98
"14-Jul-2023",26,81.53
"15-Jul-2023",25.3,24.02
"16-Jul-2023",19.4,3.34
"17-Jul-2023",24.6,6.48
"18-Jul-2023",27.7,13.92
"19-Jul-2023",24.1,0.06
"20-Jul-2023",22.4,0.01
"21-Jul-2023",26.8,15.19
"22-Jul-2023",28.7,14.52
"23-Jul-2023",20.8,8.1
"24-Jul-2023",25.7,9.32
"25-Jul-2023",28.9,25.64
"26-Jul-2023",26.4,21.61
"27-Jul-2023",22.2,14.73
"28-Jul-2023",32.7,19.87
"29-Jul-2023",20.7,11.25
"30-Jul-2023",24.3,22.29
"31-Jul-2023",25.2,1.26
"01-Aug-2023",21.1,1.76
"02-Aug-2023",14.6,54.93
"03-Aug-2023",18.6,9.88
"04-Aug-2023",15,25.87
"05-Aug-2023",16,30.14
"06-Aug-2023",11.9,11.06
"07-Aug-2023",20,6.05
"08-Aug-2023",19.8,15.62
"09-Aug-2023",19.5,46.99
"10-Aug-2023",18.4,11.12
"11-Aug-2023",22.7,25.62
"12-Aug-2023",22.6,40.88
"13-Aug-2023",15.2,60.33
"14-Aug-2023",20.5,38.46
"15-Aug-2023",17.1,0.62
"16-Aug-2023",16.6,12.05
"17-Aug-2023",22,3.15
"18-Aug-2023",17.6,3.83
"19-Aug-2023",17.8,20.84
"20-Aug-2023",20.3,13.72
"21-Aug-2023",19.8,41.07
"22-Aug-2023",14.7,6.92
"23-Aug-2023",18.2,46.31
"24-Aug-2023",21,35.26
"25-Aug-2023",23.3,95.16
"26-Aug-2023",20.5,32.75
"27-Aug-2023",18.2,6.31
"28-Aug-2023",14.6,101.6
"29-Aug-2023",11.6,24.99
"30-Aug-2023",14.2,7.43
"31-Aug-2023",12.1,3.55
"01-Sep-2023",14.4,0.11
"02-Sep-2023",16.3,5.25
"03-Sep-2023",16.6,7.42
"04-Sep-2023",17.1,7.17
"05-Sep-2023",19.2,0.03
"06-Sep-2023",24,0.01
"07-Sep-2023",17.1,3.57
"08-Sep-2023",14.7,12.03
"09-Sep-2023",10.7,33.16
"10-Sep-2023",14.4,2.07
"11-Sep-2023",19.5,3.2
"12-Sep-2023",14.9,10.21
"13-Sep-2023",14.1,3.54
"14-Sep-2023",15.5,0.99
"15-Sep-2023",17.3,7.91
"16-Sep-2023",16.8,0.63
"17-Sep-2023",12.8,0
"18-Sep-2023",12.7,1.19
"19-Sep-2023",16.5,0.46
"20-Sep-2023",11.4,21.53
"21-Sep-2023",8.1,78.26
"22-Sep-2023",8.1,19.27
"23-Sep-2023",15.7,52.71
"24-Sep-2023",8.6,64.83
"25-Sep-2023",8.3,15.44
"26-Sep-2023",10.8,0.05
"27-Sep-2023",12.7,3.72
"28-Sep-2023",13.9,0.26
"29-Sep-2023",12.6,0.46
"30-Sep-2023",9.4,0.11
"01-Oct-2023",12.1,7.12
"02-Oct-2023",9.5,13.24
"03-Oct-2023",7.9,19.64
"04-Oct-2023",10.7,44.81
"05-Oct-2023",16.4,40.83
"06-Oct-2023",4.3,8.55
"07-Oct-2023",5.1,1.19
"08-Oct-2023",2.3,18.55
"09-Oct-2023",3.1,11.42
"10-Oct-2023",4.8,1.57
"11-Oct-2023",2.8,2.01
"12-Oct-2023",3.8,13.69
"13-Oct-2023",5.6,1.99
"14-Oct-2023",3.4,3.19
"15-Oct-2023",4.1,2.86
"16-Oct-2023",1.3,0.02
"17-Oct-2023",3.2,0
"18-Oct-2023",6.1,0.02
"19-Oct-2023",3.4,0.84
"20-Oct-2023",2,2.76
"21-Oct-2023",1.5,0
"22-Oct-2023",3,0
"23-Oct-2023",1.8,0
"24-Oct-2023",2.4,0
"25-Oct-2023",0.8,0
"26-Oct-2023",1,0
"27-Oct-2023",0.8,0
"28-Oct-2023",0.2,0.55
"29-Oct-2023",0,0
"30-Oct-2023",0.8,0
"31-Oct-2023",1.1,0
"01-Nov-2023",0.8,0
"02-Nov-2023",0.5,0
"03-Nov-2023",0.9,0
"04-Nov-2023",0.9,0.67
"05-Nov-2023",0.7,0.05
"06-Nov-2023",0.2,0
"07-Nov-2023",0.7,0
"08-Nov-2023",0.2,0.03
"09-Nov-2023",0.2,0.01
"10-Nov-2023",0.1,0
"11-Nov-2023",0.2,0
"12-Nov-2023",0.4,0
"13-Nov-2023",0.1,0
"14-Nov-2023",0.2,0
"15-Nov-2023",0.4,0
"16-Nov-2023",0.1,0
"17-Nov-2023",0,0
"18-Nov-2023",0.2,0
"19-Nov-2023",0.1,0
"20-Nov-2023",0.2,0
"21-Nov-2023",0.4,0
"22-Nov-2023",0.3,0.75
"23-Nov-2023",0.1,0
"24-Nov-2023",0,0
"25-Nov-2023",0,0
"26-Nov-2023",0.2,0
"27-Nov-2023",0.2,0
"28-Nov-2023",0.3,0
"29-Nov-2023",0.5,0
"30-Nov-2023",0.8,0
"01-Dec-2023",0.6,0
"02-Dec-2023",0.2,0
"03-Dec-2023",0.3,0
"04-Dec-2023",0,0
"05-Dec-2023",0.1,0
"06-Dec-2023",0.2,0
"07-Dec-2023",0,0
"08-Dec-2023",0,2.11
"09-Dec-2023",0.1,0.06
"10-Dec-2023",0,0.01
"11-Dec-2023",0.1,0
"12-Dec-2023",0.2,0
"13-Dec-2023",0,0.8
"14-Dec-2023",0,4.73
"15-Dec-2023",0.1,0.06
"16-Dec-2023",0,0.06
"17-Dec-2023",0,0
"18-Dec-2023",0.2,0
"19-Dec-2023",0.2,0
"20-Dec-2023",0,0
"21-Dec-2023",0,0
"22-Dec-2023",0,0
"23-Dec-2023",0,0
"24-Dec-2023",0,0.02
"25-Dec-2023",0,0
"26-Dec-2023",0.1,0
"27-Dec-2023",0.5,0
"28-Dec-2023",0.4,0
"29-Dec-2023",0.1,0
"30-Dec-2023",0,0
"31-Dec-2023",0.2,0
"01-Jan-2024",0,0
"02-Jan-2024",0.2,0
"03-Jan-2024",0.4,0
"04-Jan-2024",0.7,0.01
"05-Jan-2024",1.2,0
"06-Jan-2024",0.1,0
"07-Jan-2024",0.5,0
"08-Jan-2024",0.3,0
"09-Jan-2024",1.8,0
"10-Jan-2024",1.5,0
"11-Jan-2024",0,0
"12-Jan-2024",0.1,0
"13-Jan-2024",0.2,0
"14-Jan-2024",0,0
"15-Jan-2024",0.5,0
"16-Jan-2024",0.5,0
"17-Jan-2024",0.4,0
"18-Jan-2024",0.3,0.33
"19-Jan-2024",0.6,0.02
"20-Jan-2024",0.2,0
"21-Jan-2024",0.4,0.43
"22-Jan-2024",0.6,0.03
"23-Jan-2024",0.7,0
"24-Jan-2024",0.4,0.01
"25-Jan-2024",0.5,0.09
"26-Jan-2024",0.1,0
"27-Jan-2024",0.8,0.56
"28-Jan-2024",0.5,0
"29-Jan-2024",1.5,0
"30-Jan-2024",1,0.1
"31-Jan-2024",0.9,0.18
"01-Feb-2024",0.1,0.06
"02-Feb-2024",0.5,1.34
"03-Feb-2024",0.2,1.81
"04-Feb-2024",0.5,0.14
"05-Feb-2024",0.6,0.44
"06-Feb-2024",1.4,0.11
"07-Feb-2024",0.4,0.05
"08-Feb-2024",0.7,0.02
"09-Feb-2024",0.7,0.02
"10-Feb-2024",0.4,0
"11-Feb-2024",0.1,0
"12-Feb-2024",0.1,0
"13-Feb-2024",0.1,0
"14-Feb-2024",1,0
"15-Feb-2024",0.6,0
"16-Feb-2024",0.2,0
"17-Feb-2024",0.6,0
"18-Feb-2024",0.2,0.18
"19-Feb-2024",0.5,0.33
"20-Feb-2024",1.4,0
"21-Feb-2024",0.4,0.02
"22-Feb-2024",0.2,0.11
"23-Feb-2024",0.7,0.24
"24-Feb-2024",0.5,0.58
"25-Feb-2024",0.5,0
"26-Feb-2024",0.4,0
"27-Feb-2024",0.2,0
"28-Feb-2024",0.8,0
"29-Feb-2024",0,0
"01-Mar-2024",0.2,0.15
"02-Mar-2024",0.3,0
"03-Mar-2024",0.8,0.33
"04-Mar-2024",0.6,0
"05-Mar-2024",0.2,0
"06-Mar-2024",0.8,0
"07-Mar-2024",2.2,0
"08-Mar-2024",1.2,0
"09-Mar-2024",0.8,0
"10-Mar-2024",0.6,0
"11-Mar-2024",0.6,0
"12-Mar-2024",1.4,0
"13-Mar-2024",0.8,0.03
"14-Mar-2024",0.7,0.28
"15-Mar-2024",0.6,0.13
"16-Mar-2024",0.8,0
"17-Mar-2024",2.8,0.06
"18-Mar-2024",0.9,0
